i	N	M	nExperimento	tiempoABB	tiempoSplay	cPromABB	cPromSplay
0.1	100000	10000000	1	14872.3	10882	0.00148723	0.0010882
0.1	100000	10000000	2	10149.7	286	0.00101497	2.86e-05
0.1	100000	10000000	3	2.81376e+07	8875	2.81376	0.0008875
0.1	100000	10000000	4	8.66302e+06	200	0.866302	2e-05
0.2	200000	20000000	1	35953.7	26106	0.00179768	0.0013053
0.2	200000	20000000	2	20020.8	266	0.00100104	1.33e-05
0.2	200000	20000000	3	1.11018e+08	21211	5.55092	0.00106055
0.2	200000	20000000	4	8.80465e+07	197	4.40232	9.85e-06
0.3	300000	30000000	0	52545.2	47855	0.00175151	0.00159517
0.3	300000	30000000	1	30482.6	648	0.00101609	2.16e-05
0.3	300000	30000000	2	2.73383e+08	41840	9.11277	0.00139467
0.3	300000	30000000	3	4.0928e+08	373	13.6427	1.24333e-05
